q,t,action,v
62,6.0,20.0,1032.7124297802752
62,7.0,15.0,992.1569636054564
62,8.0,15.0,951.6385643995344
62,9.0,15.0,904.1559742154185
62,10.0,15.0,810.2825820913024
62,11.0,10.0,710.395655825557
62,12.0,15.0,610.05733259147
62,13.0,10.0,510.18620165000004
62,14.0,10.0,410.14549999999997
62,15.0,5.0,310.0
63,1.0,20.0,358.373983216518
63,2.0,20.0,1205.4686372843598
63,3.0,20.0,1165.283319840542
63,4.0,20.0,1124.8011786897514
63,5.0,20.0,1084.3963773268233
63,6.0,20.0,1044.0665156312227
63,7.0,20.0,1003.5559366243294
63,8.0,15.0,962.8277392342939
63,9.0,15.0,911.7107971521065
63,10.0,15.0,815.3094657754524
63,11.0,10.0,715.1954418639042
63,12.0,10.0,615.078574570745
63,13.0,10.0,515.2266393
63,14.0,10.0,415.152
63,15.0,5.0,315.0
64,1.0,20.0,357.79394903428965
64,2.0,20.0,1217.0608451281478
64,3.0,20.0,1176.599470073702
64,4.0,15.0,1135.9990265693937
64,5.0,20.0,1095.5661991129937
64,6.0,15.0,1055.3085661484135
64,7.0,15.0,1014.819761085371
64,8.0,15.0,974.186216561242
64,9.0,15.0,918.1069845580898
64,10.0,15.0,819.9809067685645
64,11.0,15.0,720.3672584212931
64,12.0,10.0,620.15614838308
64,13.0,10.0,520.057103
64,14.0,10.0,420.1585
64,15.0,5.0,320.0
65,1.0,20.0,356.57309675960084
65,2.0,20.0,1228.233132888471
65,3.0,20.0,1187.9852253504796
65,4.0,20.0,1147.4761172059418
65,5.0,20.0,1106.9902016665583
65,6.0,15.0,1066.5134080198354
65,7.0,20.0,1026.1229855804334
65,8.0,15.0,985.3717341529025
65,9.0,15.0,924.1173851747536
65,10.0,15.0,825.4886692699174
65,11.0,15.0,725.3135242013288
65,12.0,10.0,625.48295415286
65,13.0,10.0,525.0779841
65,14.0,10.0,425.1565
65,15.0,5.0,325.0
66,1.0,20.0,354.99416409635035
66,2.0,20.0,1239.5791068178255
66,3.0,20.0,1199.439400202313
66,4.0,20.0,1159.0494710576659
66,5.0,20.0,1118.5179915138467
66,6.0,15.0,1077.959986399776
66,7.0,15.0,1037.3403960097755
66,8.0,15.0,996.3937433034357
66,9.0,15.0,929.3870481710916
66,10.0,15.0,830.5768195712604
66,11.0,10.0,730.3696212231957
66,12.0,10.0,630.209693938485
66,13.0,15.0,530.21952015
66,14.0,15.0,430.043
66,15.0,5.0,330.0
67,1.0,20.0,352.9092552233434
67,2.0,20.0,1251.091966973216
67,3.0,20.0,1210.6866872944356
67,4.0,20.0,1170.3179849438486
67,5.0,20.0,1129.9002587748414
67,6.0,20.0,1089.3612126634146
